CTSA (parent award),City,State,Hub_Zip,Zip+4,Lat,Long
UNIV OF MASSACHUSETTS MED SCH WORCESTER,Worcester,MA,01655,01655-0002,42.271700,-71.758800
TUFTS UNIVERSITY BOSTON,Boston,MA,02111,02111-1901,42.351000,-71.061000
RUTGERS BIOMEDICAL/HEALTH SCIENCES-RBHS,Piscataway,NJ,08901,08901-1281,40.489000,-74.448500
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,New York,NY,10029,10029-6574,40.789731,-73.952693
CHILDREN'S RESEARCH INSTITUTE,Washington,DC,20010,20010-2916,38.927409,-77.014190
BOSTON UNIVERSITY MEDICAL CAMPUS,Boston,MA,02118,02118-2340,42.339800,-71.073500
HARVARD MEDICAL SCHOOL,Boston,MA,02120,02120-1621,42.333100,-71.096400
YALE UNIVERSITY,New Haven,CT,06520,06520-8327,41.306400,-72.931000
NEW YORK UNIVERSITY SCHOOL OF MEDICINE,New York,NY,10016,10016-0000,40.742070,-73.974336
COLUMBIA UNIVERSITY HEALTH SCIENCES,New York,NY,10032,10032-3726,40.841097,-73.941197
ROCKEFELLER UNIVERSITY,New York,NY,10065,10065-6399,40.762912,-73.955829
WEILL MEDICAL COLL OF CORNELL UNIV,New York,NY,10065,10065-4805,40.764991,-73.954790
ALBERT EINSTEIN COLLEGE OF MEDICINE,Bronx,NY,10461,10461-1900,40.851185,-73.845807
STATE UNIVERSITY OF NEW YORK AT BUFFALO,Amherst,NY,14228,14228-2567,43.040000,-78.780000
UNIVERSITY OF ROCHESTER,Rochester,NY,14627,14627-0140,43.131900,-77.623900
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,Pittsburgh,PA,15213,15213-3320,40.442814,-79.960970
PENNSYLVANIA STATE UNIV HERSHEY MED CTR,Hershey,PA,17033,17033-2360,40.274600,-76.643300
UNIVERSITY OF PENNSYLVANIA,Philadelphia,PA,19104,19104-6205,39.947883,-75.192598
GEORGETOWN UNIVERSITY,Washington,DC,20057,20057-0001,38.906424,-77.072226
JOHNS HOPKINS UNIVERSITY,Baltimore,MD,21218,21218-2681,39.326200,-76.609600
UNIVERSITY OF VIRGINIA,Charlottesville,VA,22904,22904-4195,38.051999,-78.504176
VIRGINIA COMMONWEALTH UNIVERSITY,Richmond,VA,23298,23298-0568,37.539950,-77.429600
WAKE FOREST UNIVERSITY HEALTH SCIENCES,Winston Salem,NC,27157,27157-0001,36.089587,-80.268579
UNIV OF NORTH CAROLINA CHAPEL HILL,Chapel Hill,NC,27599,27599-5023,35.923672,-79.054867
DUKE UNIVERSITY,Durham,NC,27705,27705-4673,36.020600,-78.958200
MEDICAL UNIVERSITY OF SOUTH CAROLINA,Charleston,SC,29407,29407-4636,32.798600,-80.005300
