CTSA (parent award),City,State,Hub_Zip,Zip+4,lat,lon,abbreviation
UNIV OF MASSACHUSETTS MED SCH WORCESTER,Worcester,MA,1655,01655-0002,42.2717,-71.7588,Worcester01655
TUFTS UNIVERSITY BOSTON,Boston,MA,2111,02111-1901,42.351,-71.061,Boston02111
RUTGERS BIOMEDICAL/HEALTH SCIENCES-RBHS,Piscataway,NJ,8901,08901-1281,40.489,-74.4485,Piscataway08901
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,New York,NY,10029,10029-6574,40.789731,-73.952693,NewYork10029
CHILDREN'S RESEARCH INSTITUTE,Washington,DC,20010,20010-2916,38.927409,-77.01419,Washington20010
BOSTON UNIVERSITY MEDICAL CAMPUS,Boston,MA,2118,02118-2340,42.3398,-71.0735,Boston02118
HARVARD MEDICAL SCHOOL,Boston,MA,2120,02120-1621,42.3331,-71.0964,Boston02120
YALE UNIVERSITY,New Haven,CT,6520,06520-8327,41.3064,-72.931,NewHaven06520
NEW YORK UNIVERSITY SCHOOL OF MEDICINE,New York,NY,10016,10016-0000,40.74207,-73.974336,NewYork10016
COLUMBIA UNIVERSITY HEALTH SCIENCES,New York,NY,10032,10032-3726,40.841097,-73.941197,NewYork10032
ROCKEFELLER UNIVERSITY,New York,NY,10065,10065-6399,40.762912,-73.955829,NewYork10065
WEILL MEDICAL COLL OF CORNELL UNIV,New York,NY,10065,10065-4805,40.764991,-73.95479,NewYork10065
ALBERT EINSTEIN COLLEGE OF MEDICINE,Bronx,NY,10461,10461-1900,40.851185,-73.845807,Bronx10461
STATE UNIVERSITY OF NEW YORK AT BUFFALO,Amherst,NY,14228,14228-2567,43.04,-78.78,Amherst14228
UNIVERSITY OF ROCHESTER,Rochester,NY,14627,14627-0140,43.1319,-77.6239,Rochester14627
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,Pittsburgh,PA,15213,15213-3320,40.442814,-79.96097,Pittsburgh15213
PENNSYLVANIA STATE UNIV HERSHEY MED CTR,Hershey,PA,17033,17033-2360,40.2746,-76.6433,Hershey17033
UNIVERSITY OF PENNSYLVANIA,Philadelphia,PA,19104,19104-6205,39.947883,-75.192598,Philadelphia19104
GEORGETOWN UNIVERSITY,Washington,DC,20057,20057-0001,38.906424,-77.072226,Washington20057
JOHNS HOPKINS UNIVERSITY,Baltimore,MD,21218,21218-2681,39.3262,-76.6096,Baltimore21218
UNIVERSITY OF VIRGINIA,Charlottesville,VA,22904,22904-4195,38.051999,-78.504176,Charlottesville22904
VIRGINIA COMMONWEALTH UNIVERSITY,Richmond,VA,23298,23298-0568,37.53995,-77.4296,Richmond23298
WAKE FOREST UNIVERSITY HEALTH SCIENCES,Winston Salem,NC,27157,27157-0001,36.089587,-80.268579,WinstonSalem27157
UNIV OF NORTH CAROLINA CHAPEL HILL,Chapel Hill,NC,27599,27599-5023,35.923672,-79.054867,ChapelHill27599
DUKE UNIVERSITY,Durham,NC,27705,27705-4673,36.0206,-78.9582,Durham27705
MEDICAL UNIVERSITY OF SOUTH CAROLINA,Charleston,SC,29407,29407-4636,32.7986,-80.0053,Charleston29407
EMORY UNIVERSITY,Atlanta,GA,30322,30322-1009,33.78949,-84.326772,Atlanta30322
UNIVERSITY OF FLORIDA,Gainesville,FL,32611,32611-5500,29.6102,-82.3682,Gainesville32611
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,Coral Gables,FL,33146,33146-2926,25.7213,-80.2712,CoralGables33146
UNIVERSITY OF ALABAMA AT BIRMINGHAM,Birmingham,AL,35294,35294-0001,33.509571,-86.806725,Birmingham35294
VANDERBILT UNIVERSITY MEDICAL CENTER,Nashville,TN,37232,37232-0012,36.140924,-86.801634,Nashville37232
UNIVERSITY OF KENTUCKY,Lexington,KY,40526,40526-0001,38.0392,-84.5065,Lexington40526
